name,price,neighbourhood_cleansed,room_type,minimum_nights,accommodates,bedrooms,beds,bathroom_count,bathroom_type
Eclectic East Nashville Cottage,115.0,District 5,Entire home/apt,3,4,2.0,2.0,1.0,bath
East Nashville & Easy Bike Downtown,200.0,District 6,Entire home/apt,30,4,2.0,2.0,2.0,bath
Luxurious Downtown-2 bed 2 bath Corner 2M,239.0,District 19,Entire home/apt,2,6,2.0,3.0,2.0,bath
"Great Location, Large Home - Roof Deck, Walk to Nightlife!",348.0,District 19,Entire home/apt,2,12,3.0,6.0,3.5,bath
Luxury at Landmark,169.0,District 27,Entire home/apt,30,8,2.0,4.0,2.5,bath
Walk to Broadway! DT Riverfront condo-Free Coffee!,112.0,District 19,Entire home/apt,2,4,2.0,2.0,2.0,bath
Kooler Kendall,342.0,District 24,Entire home/apt,3,12,4.0,9.0,2.0,bath
"New, Spacious, Clean, near Downtown",519.0,District 17,Entire home/apt,4,7,3.0,3.0,2.5,bath
*WONDERFUL NEW 4 BEDROOM HOME. CLOSE TO DOWNTOWN*,336.0,District 5,Entire home/apt,2,12,4.0,10.0,3.0,bath
"Downtown w Rooftop Deck, 4 Bedrooms/3.5 Baths!",321.0,District 19,Entire home/apt,2,10,4.0,5.0,3.5,bath
Cozy Bedroom near Nissan Stadium,225.0,District 6,Private room,1,2,1.0,1.0,1.0,shared bath
Sylvan Park Guest Quarters,80.0,District 24,Entire home/apt,30,1,1.0,1.0,1.0,bath
The Highland House East Nashville!,114.0,District 8,Entire home/apt,3,4,1.0,2.0,1.0,bath
Hip East Nashville - Front Porch,144.0,District 6,Entire home/apt,2,6,3.0,5.0,1.0,bath
"Serene, Cozy Getaway; Lipscomb, Vanderbilt,12South",150.0,District 25,Entire home/apt,2,4,1.0,3.0,1.0,bath
Germantown - 1.7 mi to downtown,225.0,District 19,Entire home/apt,1,6,3.0,3.0,1.0,bath
Private flat with a view!,130.0,District 6,Entire home/apt,2,4,1.0,2.0,1.0,bath
Room in Nashville,130.0,District 17,Private room,1,2,1.0,1.0,1.0,bath
12th South Dream Retreat - Family Friendly!,487.0,District 17,Entire home/apt,2,10,3.0,5.0,3.0,bath
2 New Hope Court Paradise room NS only plz,35.0,District 12,Private room,31,1,1.0,1.0,1.0,shared bath
Location! Music Row Gulch Downtown!,170.0,District 19,Entire home/apt,1,6,1.0,4.0,1.0,bath
Spacious Main Suite near Percy Priest Lake NS only,42.0,District 12,Private room,30,1,1.0,1.0,1.0,shared bath
Stylish East Nashville Getaway,415.0,District 6,Entire home/apt,2,12,4.0,4.0,3.0,bath
